No.,Description,Quantity, Unit Price ,Item Category Code,Product Model
SUN2000-015KTL-M2,HUAWEI SUN2000 15KTL-M5 15KW 3PH SOLAR INVERTER,3,280000,HUAWEI,INVERTER
DSD300,ULTRASUN UFS300D FLATPLATE SOLAR HOT WATER SYSTEM,70,272000,SUNRAIN,SHW
LC400D,LORENTZ PS4000 4KVA CONTROLLER,0,265000,LORENTZ,DC CONTROL
SV3/11T,DAYLIFF SV3 11KW 3PH SUNVERTER,20,265000,DAYLIFF,SUNVERTER
POWER-MATE-B1,HUAWEI POWER-M 5KWH STORAGE MODULE,163,260000,HUAWEI,BATTERY
DSH200,ULTRASUN UVR200 VACROD SOLAR HOT WATER SYSTEM,19,255000,SUNRAIN,SHW
SUNTOWER 4.4M,DAYLIFF GALV. SUNTOWER 4.4M C/W 3000L PLASTIC TANK,0,251000,FAB,SUPPORT ST
HPW120,DAYLIFF HPW120 2.5kW 1PH ALL-IN-ONE HEAT PUMP,9,250000,SUNRAIN,HEATING
ESI300A,ULTRASUN UFX300I HOT WATER TANK,0,250000,BURAL,SHW
UFS300I,ULTRASUN UFS300I INDIRECT SOLAR HOT WATER SYSTEM,16,250000,SUNRAIN,SHW
DSDKIT-5/18,DAYLIFF DSD 5/18 SOLAR PUMPING SYSTEM,0,245000,DAYLIFF,DSD
DSDKIT-8/12,DAYLIFF DSD 8/12 SOLAR PUMPING SYSTEM,1,245000,DAYLIFF,DSD
DSDKIT-3/18,DAYLIFF DSD 3/18 SOLAR PUMPING SYSTEM,0,243000,DAYLIFF,DSD
20KTL3-X,DAYLIFF GROWATT 20KW 3PH GRID-TIE INVERTER,3,242000,DAYLIFF,GROWATT
SPS-3E,DAYLIFF 60W SOLAR STREET LIGHT C/W 6M POLE,0,240000,DAYLIFF,SOLAR FAB
SUNTOWER 2.4M/6,DAYLIFF GALV. SUNTOWER 2.4M W/O 6000L PLASTIC TANK,0,240000,FAB,SUPPORT ST
DSDKIT-3/13,DAYLIFF DSD 3/13 SOLAR PUMPING SYSTEM,0,234000,DAYLIFF,DSD
DSDKIT-5/10,DAYLIFF DSD 5/10 SOLAR PUMPING SYSTEM,0,234000,DAYLIFF,DSD
SUNFLO-B2200CEF,DAYLIFF SUNFLO-B 2200C20 SOLAR PUMP,11,234000,DAYLIFF,SOLAR PUMP
ESI150,ULTRASUN UFX160I FLATPLATE SOLAR HOT WATER SYSTEM,16,233000,BURAL,SHW
LP180C5,LORENTZ PU1800C-SJ5-12 SOLAR PUMP,0,232000,LORENTZ,DC PUMP
SUN2000-010KTL-M1,HUAWEI SUN2000 10KTL-M1 10KW 3PH SOLAR INVERTER,20,227000,HUAWEI,INVERTER
LP180C8,LORENTZ PU1800C-SJ8-7 SOLAR PUMP,0,226000,LORENTZ,DC PUMP
SBSH-3000/2,HOPPECKE 3200Ah 2V SEALED SOLAR BATTERY,0,225000,HOPPECKE,BATTERY
